Gene,Half_Life
YPR047W,119.39756451973876
YDL162C,119.33486482844839
YGL184C,119.2402510493831
YLR219W,118.92364294613726
YLL059C,118.89505192886239
YDR254W,118.61985270289922
YPR155C,118.58237451299883
YJL144W,118.57528759746995
YLR072W,118.55486187049077
YGL207W,118.1720105338947
YJL132W,117.79809398299707
YAL038W,117.75064580292776
YLR329W,117.74578827272286
YMR090W,117.65041464762031
YAL066W,117.4272085990519
YDR042C,117.35676766391045
YJR091C,117.21849936013304
YBL070C,117.06853104235341
YIL101C,117.03824552168595
YIL060W,116.69510157993875
YHR191C,116.44306850246475
YIL111W,116.15802685347766
YGR238C,116.03289346660904
YJL215C,115.78969683827077
YHR214C-B,115.66128930362738
YPL230W,115.61614402512552
YMR110C,115.59519295999978
YNL187W,115.26551625781065
YPR026W,115.19100167509812
YDR426C,115.12558764710363
YDR215C,115.1011240905072
YFL016C,115.04901563934315
YPR064W,114.76526163514934
YKL052C,114.50575828107424
YNL285W,114.47057609632147
YHR002W,114.43404081825058
Q0060,114.25667066233163
YDR016C,114.15155149264717
YHR095W,114.07914493849485
YNR064C,114.05024703727872
YFL012W,113.92316797979181
YMR280C,113.8303497247764
YKL096W,113.66091477277564
YAL054C,113.6089803602941
YOR251C,113.54516803427025
YDR277C,113.51156604598913
YPL247C,113.09380293293708
YOR268C,113.05201437401753
YHR104W,112.82011578405752
YGR199W,112.70085429937643
YKL095W,112.66663601509555
YIL097W,112.64656427373659
YDR343C,112.42904042664874
YLR140W,112.36317014927806
YGR059W,112.27670572246923
YLR109W,112.26489414472516
YHR105W,112.1766636084547
YPL257W,112.00742698716232
YER011W,111.91619211722184
YGL193C,111.64013277391405
YCR012W,111.43046351537275
YMR258C,111.4240721513792
YEL010W,111.32513373294957
YBR190W,111.21615063567452
YLR012C,110.91474054865812
YIL075C,110.8996987090627
YBR183W,110.75734512614305
YOL081W,110.75152110791664
YGR284C,110.3021542539921
YPR196W,110.27998544329171
YGL194C,110.14157944342826
YJR046W,109.64046327307423
YFL053W,109.618435961253
YGL249W,109.46261617545896
YNL182C,109.39942737397072
YGL158W,109.33226709201801
YKL210W,109.13897986618184
YBL043W,108.70263096340449
YDR533C,108.66262625654679
YER054C,108.55677967846525
YGR067C,108.43692632935715
YEL072W,108.36304234525771
